age,income,citizenship,prior_services,household_size,has_disability,previous_medicaid,previous_wic,eligible_medicaid,eligible_food,eligible_wic
56,21315,1,2,4,0,0,0,0,1,1
69,30955,1,2,1,0,0,0,0,0,0
46,37079,1,2,3,0,0,0,0,0,0
32,32088,0,2,7,0,0,0,0,0,0
60,48092,1,1,2,0,0,0,0,1,0
25,35759,1,3,2,0,0,0,0,1,0
78,25740,1,0,1,0,0,0,0,0,0
38,36017,1,2,4,1,0,0,0,0,0
56,37494,1,0,6,0,0,0,0,0,0
75,10554,1,2,6,0,0,1,1,1,1
36,47241,0,1,5,0,0,0,0,0,0
40,25486,1,1,4,1,0,0,0,0,0
28,25870,1,0,6,0,0,0,1,0,0
28,41270,0,1,4,0,0,0,0,0,0
41,41207,0,0,2,0,0,0,0,0,0
70,19487,1,1,7,0,0,0,1,1,0
53,42043,1,2,7,0,0,0,0,0,0
57,21593,0,1,7,0,0,0,0,1,0
41,57293,1,0,2,0,0,0,0,0,0
20,17577,1,1,5,0,0,0,1,1,0
39,33592,1,2,7,0,1,1,0,0,1
70,18269,1,0,2,0,0,1,1,1,1
19,63340,1,0,4,0,0,0,0,0,0
41,11432,1,1,7,0,0,0,1,1,0
61,37865,1,1,1,0,0,0,0,0,0
47,18976,1,2,5,0,0,0,1,1,0
55,24688,1,2,1,0,0,0,0,0,0
19,36803,0,1,4,0,0,0,0,0,0
77,48368,1,1,5,0,0,0,0,0,0
38,54350,1,4,1,0,1,0,0,1,0
50,6945,1,3,5,0,0,0,1,1,0
29,34016,1,2,4,0,0,0,0,0,0
75,51892,1,1,6,0,0,0,0,1,0
39,4720,1,0,7,1,1,0,1,1,0
78,34715,1,0,5,1,0,1,0,0,1
61,29968,1,1,7,0,0,0,1,0,0
42,36218,1,2,7,0,0,0,0,0,0
66,18415,1,1,6,0,0,0,0,1,0
44,8465,1,0,4,0,0,0,1,1,0
76,1303,1,3,5,0,0,0,1,1,1
59,44645,0,1,5,0,0,0,0,0,0
45,46560,1,0,6,1,0,0,0,0,0
77,34540,1,0,2,0,0,0,0,0,0
33,21987,1,0,6,0,0,0,0,1,0
32,5654,1,1,6,0,0,0,0,1,0
79,38450,1,2,6,0,1,0,0,0,0
79,13488,1,0,4,0,1,0,1,1,0
64,19330,1,1,3,0,0,0,1,0,0
79,21201,1,2,6,0,1,1,0,1,1
68,27036,1,1,5,0,0,0,0,0,0
61,18614,1,1,1,0,0,0,1,0,0
72,30501,1,0,2,0,0,0,0,0,0
69,20672,1,0,6,0,0,0,0,1,0
74,40520,1,1,6,0,0,0,0,0,0
20,45465,0,0,2,0,0,0,0,0,0
54,31628,1,3,6,1,0,0,0,1,0
68,36939,1,2,5,0,0,0,0,0,0
